"name";"value";"dateStamp"
"tokic_ro";"29739";"2025-01-28 00:00:00"
"vw";"2302";"2025-01-28 00:00:00"
"zsu";"67407";"2025-01-28 00:00:00"
"abakus";"20436";"2025-01-29 00:00:00"
"abs";"14360";"2025-01-29 00:00:00"
"aci";"45773";"2025-01-29 00:00:00"
"ajs";"610";"2025-01-29 00:00:00"
"auto-partner-blue";"56629";"2025-01-29 00:00:00"
"autogroup";"1194";"2025-01-29 00:00:00"
"autokelly";"118058";"2025-01-29 00:00:00"
"autonova";"4235";"2025-01-29 00:00:00"
"autopartner";"35098";"2025-01-29 00:00:00"
"conex";"20809";"2025-01-29 00:00:00"
"conex_ro";"22157";"2025-01-29 00:00:00"
"dft";"18774";"2025-01-29 00:00:00"
"difer";"1717";"2025-01-29 00:00:00"
"euro07";"20222";"2025-01-29 00:00:00"
"gbg";"88469";"2025-01-29 00:00:00"
"hartsk";"14566";"2025-01-29 00:00:00"
"ipsa";"3184";"2025-01-29 00:00:00"
"jbm";"2905";"2025-01-29 00:00:00"
"jmauto_st";"15204";"2025-01-29 00:00:00"
"lang";"90646";"2025-01-29 00:00:00"
"materom";"20071";"2025-01-29 00:00:00"
"misfat";"13528";"2025-01-29 00:00:00"
"mm";"939";"2025-01-29 00:00:00"
"motogama";"28753";"2025-01-29 00:00:00"
"motoprofil";"61161";"2025-01-29 00:00:00"
"neo";"5655";"2025-01-29 00:00:00"
"nimfas";"1666";"2025-01-29 00:00:00"
"parts4france";"12510";"2025-01-29 00:00:00"
"polcar";"45184";"2025-01-29 00:00:00"
"polcarnagy";"133357";"2025-01-29 00:00:00"
"schaefer";"16331";"2025-01-29 00:00:00"
"skv";"14";"2025-01-29 00:00:00"
"stahlcz";"68581";"2025-01-29 00:00:00"
"stahlgruber";"27597";"2025-01-29 00:00:00"
"suder";"23670";"2025-01-29 00:00:00"
"tokic";"21332";"2025-01-29 00:00:00"
"tokic_ro";"30074";"2025-01-29 00:00:00"
"vw";"2296";"2025-01-29 00:00:00"
"zsu";"67407";"2025-01-29 00:00:00"
"abakus";"20436";"2025-01-30 00:00:00"
"abs";"14360";"2025-01-30 00:00:00"
"aci";"45952";"2025-01-30 00:00:00"
"ajs";"404";"2025-01-30 00:00:00"
"auto-partner-blue";"57351";"2025-01-30 00:00:00"
"autogroup";"1291";"2025-01-30 00:00:00"
"autokelly";"118061";"2025-01-30 00:00:00"
"autonova";"4231";"2025-01-30 00:00:00"
"autopartner";"35245";"2025-01-30 00:00:00"
"conex";"20712";"2025-01-30 00:00:00"
"conex_ro";"22094";"2025-01-30 00:00:00"
"dft";"18774";"2025-01-30 00:00:00"
"difer";"1724";"2025-01-30 00:00:00"
"euro07";"20284";"2025-01-30 00:00:00"
"gbg";"88469";"2025-01-30 00:00:00"
"hartsk";"14566";"2025-01-30 00:00:00"
"ipsa";"3180";"2025-01-30 00:00:00"
"jbm";"2896";"2025-01-30 00:00:00"
"jmauto_st";"15233";"2025-01-30 00:00:00"
"lang";"90646";"2025-01-30 00:00:00"
"materom";"19638";"2025-01-30 00:00:00"
"misfat";"13528";"2025-01-30 00:00:00"
"mm";"1868";"2025-01-30 00:00:00"
"motogama";"28894";"2025-01-30 00:00:00"
"motoprofil";"61139";"2025-01-30 00:00:00"
"neo";"5637";"2025-01-30 00:00:00"
"nimfas";"1716";"2025-01-30 00:00:00"
"parts4france";"12509";"2025-01-30 00:00:00"
"polcar";"45172";"2025-01-30 00:00:00"
"polcarnagy";"133255";"2025-01-30 00:00:00"
